,OUR_SUMMARY
1426,"And he added: ""It felt different then last summer when I had the same injury on my other foot. ""The fractures are tiny and he could be playing next month,"" Banks told the club's website. ""Then I could walk already after three days but I stayed sidelined for a long period. Robben had an MRI scan on the injury, sustained during the Premiership win at Blackburn, on Monday. I hope that it will now take me six to eight weeks."" ""I had a feeling it was serious but because of the swelling it was impossible to make a final diagnosis."" ""One is a chip on the side of his foot, the other is a small break on the third metatarsal. ""I felt my leg go,"" he said."
1427,"""But he's one of the greatest of all Welsh internationals and on his 50th cap it's appropriate he's captain."" Giggs handed Wales leading role
Ryan Giggs will captain Wales as he wins his 50th cap in Wednesday's friendly against Hungary in Cardiff. ""For this particular game I think it is appropriate that Ryan Giggs will be captain, it's his 50th cap and he's known for some time about that,"" Toshack said. But Giggs is now focussed on making the Toshack era even more successful than the time Hughes spent at the helm. ""The manager has always wanted me to play for my club and country and he was keen for me to continue because I am fit enough."" On Wednesday night Toshack takes charge of his first match since replacing Hughes, and Giggs said: ""It's my 50th cap and I am looking forward to it, and I hope to play a lot more times from here on in. ""He feels, like myself, that I have no weight problems and keep myself fit, so in three or four years' time I will be able to play in the European finals if we get there. ""It's important to be here, all the players feel the same. ""I'm enjoying my football, the way United have been playing and my own form, you have to enjoy it. ""We have massive games coming up: Manchester City this week, then the Everton cup tie, followed by AC Milan in the Champions League, and my first Wales game under John Toshack, so it's an important time."""
1428,"""I told the club I would like to stay for one more year. The 34-year-old Dutch midfielder is out of contract in the summer and, although his age may count against him, he feels he can play on for another season. He is an unsung hero,"" said Keegan. ""The main concern is my age but I think I have proved I am fit enough."
1429,"Sociedad have been given special permission by the Spanish FA to sign a player due to an injury crisis. Mladenovic's loan move is subject to him passing a medical. Sociedad set to rescue Mladenovic
Rangers are set to loan out-of-favour midfielder Dragan Mladenovic to Real Sociedad, despite the closure of the January transfer window. The versatile Mladenovic can also play in the back four. His agent said last month that Rangers had told him to find the player a new club."
1430,"Parry relishes Anfield challenge
BBC Sport reflects on the future for Liverpool after our exclusive interview with chief executive Rick Parry. He only dodged one question - when asked to reveal the name of the mystery investor currently courting Liverpool, a polite smile deflected the inquiry. He is also searching for an investment package of a size and stature that will restore Liverpool to their place at European football's top table. BBC Sport understands Morgan is still ready and willing to invest in Liverpool, and Parry has kept the door ajar despite currently seeking investment elsewhere. Ideally we would want to secure his future to the club for the long term. As for the stadium, if it gets us cash what difference does it make really? Throw in the small matter of warding off every top club in world football as they eye captain Steven Gerrard, and you can see Parry is a man with a lot on his plate. Critical time for Liverpool with regards to Gerrard. I would however be happy with Gerrard's transfer for any fee over £35m. I would take £50m if we had no investment, but if we did, keep him."
1431,"Time to get tough on friendlies? I would say it's 50-50 whether you should have these games or not, and if you look at it that way you would probably say you're better not doing so. It would certainly keep club managers happy, as it would reduce the risk of players returning to domestic duty injured. The more you play together, the easier it is when it comes to the crunch in games like World Cup quarter-finals against Brazil. He will have his own ideas on individuals and how to play and will probably look more at the performance, but the public wants results. But international bosses will tell you that scrapping friendlies is counterproductive because the only way for a team to get better is by playing. The new Scotland manager has decided to have a training camp instead of a friendly for his first international week since replacing Berti Vogts. If he had sent them out on Wednesday and they had been badly beaten, it would have done them no good whatsoever. England's game against Holland is a good example. The injury problems in defence should at least give the likes of Wes Brown and Jamie Carragher a chance to impress."
1432,"Fernando Torres gave Athletico an ideal start with a goal in the first minute. Barcelona title hopes hit by loss
Barcelona's pursuit of the Spanish title took a blow on Sunday as they fell to a 2-0 defeat at home to Atletico Madrid. Gravesen, who replaced Zidane, completed the scoring in the 84th minute with a low shot. David Beckham, watched by Sven-Goran Eriksson, came off in the 67th minute with a shoulder injury but should be fit for England's game against Holland. Real have now won six consecutive Primera Liga games since coach Wanderley Luxemburgo took charge."
1433,"He said: ""I have to say historically it is something I have been against, and I have been on record as saying that, but I think the size of the Arsenal deal is a real eye-opener. On the subject of Liverpool's finances, Parry also revealed the club is ready to explore the possibility of a sponsorship deal for its proposed new stadium. There are a lot of other players who feel the same, so we all have a common aim."" I think we came close to concluding a deal in the summer but it didn't happen. ""We have a common interest in making Liverpool successful. ""I think the stadium will always be Anfield, not least because of where it is, but do we need to investigate the possibilities of sponsorship? The key is if Gerrard comes out and says that he is happy. Ideally we would want to secure his future to the club for the long term. Critical time for Liverpool with regards to Gerrard. I would however be happy with Gerrard's transfer for any fee over £35m."
1434,"Bees handed potential Man Utd tie
Brentford face a home tie against holders Manchester United in the FA Cup sixth round if they can come through their replay against Southampton. Newcastle will be at home to either Tottenham or Nottingham Forest. ""It would be a sell-out. was delighted to be paired with United, although he admitted they still have plenty of work to do to set up a dream tie. It will probably be on television. ""We've got our work cut out next Tuesday but you can't deny it's exciting,"" he said. ""It is obviously going to be a difficult replay judging by the way Brentford came back at us on Saturday and the fact that United have come out of the hat will give them even more incentive. ""We've got to beat Southampton first and that's going to be a hard game but if we do there will be some celebration."" Newcastle v Tottenham or Nottingham Forest
Southampton or Brentford v Manchester United
Bolton v Arsenal or Sheffield United
Burnley or Blackburn v Leicester"
1435,"Injured Rio Ferdinand and Sol Campbell were both left out of the squad, and Matthew Upson has already pulled out. England's defensive crisis grows
England's defensive worries have deepened following the withdrawal of Tottenham's Ledley King from the squad to face Holland. Wes Brown and Jamie Carragher are likely to be the makeshift partnership. But now he has pulled out with a bruised knee and is likely to be replaced by Carragher, alongside Brown. King was forced to pull out after his groin injury was assessed by England's medical staff."
1436,"""A lot of people want the club's interest to be with people who have grown up with the club and have got its interests at heart,"" said Ferdinand. ""I would like to see the situation resolved either way. Ferdinand casts doubt over Glazer
Rio Ferdinand has said he is unsure of Malcolm Glazer's motives after the American billionaire launched a new offer to buy Manchester United. ""I think people are getting bored with him coming in and out of the news with new proposals. ""A further announcement will be made in due course."" Glazer, currently owns a 28.1% stake in the club, and United's statement to the stock exchange said: ""The board has noted the recent press speculation on this subject. But the Irish duo have cut off talks with Glazer over the proposed sale of their stake, while fans remain opposed to his involvement."
1437,"Premier League planning Cole date
The Premier League is attempting to find a mutually convenient date to investigate allegations Chelsea made an illegal approach for Ashley Cole. Now the Gunners have asked for an inquiry to look into claims that their player has been ""tapped up"". Cole is in negotiations with the Gunners over extending his current deal which ends in 2007. ""It's not a formal situation where they've got so much time to respond."" Pires told the Evening Standard: ""He has been at Arsenal for ever. ""I am not sure he will get the same pleasure at Chelsea, even though they are doing so well at the moment. ""But you have to respect the decision of the player. ""We play together so well - we could do it with our eyes shut."
1438,"But Sturrock has distanced himself from the position. McCall earns Tannadice reprieve
Dundee United manager Ian McCall has won a reprieve from the sack, with chairman Eddie Thompson calling for an end to speculation over his future. ""We want the boss to stay, we don't want someone else coming in,"" said Jim McIntyre. ""However, the continuing speculation is doing no one any good, especially as we have several crucial games coming up. ""I think all the boys are behind Ian McCall,"" he added. ""All that matters at the present time - is us all having a total focus on the games ahead and a positive series of results being achieved."" Keeper Tony Bullock echoed McIntyre's sentiments. ""I can appreciate the rumours because I've emphasised my thoughts and ambitions to go back to Dundee United. ""The important thing now is I've come here to do a job and I'm going to try to finish it."" I had five years there as a coach, six as a player, two years as a manager - once you've done that kind of thing, it's the result you look for."
1439,"Kewell has not played since December 19 and misses out on international duty this week, with Australia facing South Africa in Durban on Wednesday. But Bernie Mandic said: ""He's had scans which don't show anything substantial. ""But despite his best efforts at the moment he simply can't shake off the discomfort and get back on the park."""
1440,"Smith aims to bring back respect
Scotland manager Walter Smith says he wants to restore the national team's respectability in world football. ""I think we have got to try to get a bit of respectability back in whatever way we can,"" he said. ""We will have to approach each game differently. ""We have to meet the challenge of each match."" He said: ""I pointed out how I see the international team going forward and that was the main topic. Smith will be absent for the final sessions, however, as he is due to fly out to Sardinia on Wednesday to watch Italy's friendly with Russia."
1441,"There were also doubts over Gabbidon's fellow Cardiff defender Rhys Weston, but the full-back appears to have shrugged off the knock he picked up in the Bluebirds' 1-0 loss to West Ham on Sunday. The news leaves Wales boss John Toshack short in defence for his first game in charge, with Aston Villa's Mark Delaney injured and James Collins with the Under-21s. Defenders Danny Gabbidon and Gareth Roberts, plus Ryan Giggs have hamstring concerns, while there are also doubts over Robbie Savage (groin). That could clear the way for new faces Danny Collins and Dave Partridge to make their Wales debuts."
1442,"Weir poised for Sunderland move
Larne's teenage star Robbie Weir is poised to join Sunderland after turning down a move to Stoke City. ""I heard on Sunday that he has joined Sunderland, but not from the lad himself,"" he said. ''Robbie has an agreement with Larne that he can negotiate with interested clubs. But it would be great to see him making it at Sunderland.''"
1443,"Newry to fight cup exit in courts
Newry City are expected to discuss legal avenues on Friday regarding overturning their ejection from the Nationwide Irish Cup. It meant that Bangor, beaten 5-1 by Newry on the field, will take on Portadown in the sixth round. ''A law firm will put a case forward for Newry FC, and see what the legal implications of all this is are,'' said Newry boss Roy McCreadie. There is no good sending us the same fax message the press people received. ''We want an explanation. ''It's a real sad case."
1444,"The 29 March game will be the second time the Republic have played China - the previous encounter back in June 1984 with the Irish winning 1-0 in Sapporo, Japan. However, that is the Republic's only victory in eight attempts against the Italians who have won all the other seven games. Brian Kerr said: ""China have made great progress over the last few years and will provide difficult opposition. ""We all witnessed the performances of the Asian teams in the last World Cup, and China play a similar type of football. ""The game will be ideal preparation for the three important World Cup qualifiers in the autumn."""
1445,"Switzerland, Ireland, France and Israel are all now tied on five points from three matches - although the Republic look to have a slight edge after claiming away draws in Basel and Paris. ""There is a chance for us now to go on, win our home games and why not win the group, even though it's a tough one,"" said the Liverpool player. ""In Basel we did not play great football, but when you to go to these places the other teams are going to have the majority of the game. ""Automatic qualification is there. It would certainly be good to avoid a play-off, but on the back of a couple of good results I don't see why we can't win the group."" Manager Brian Kerr was keen to mention the contribution of Stephen Carr and Finnan on Ireland's right flank at the Stade de France. ""So I was happy to play and Stephen Carr and I enjoyed the game, particularly as the defence and midfield held together well and nullified their attacks."""
1446,"Irish finish with home game
Republic of Ireland manager Brian Kerr has been granted his wish for a home game as the final World Cup qualifier. Ireland will close their bid to reach the 2006 finals by playing Switzerland in Dublin on 12 October 2005. The Republic met the Swiss in their final Euro 2004 qualifier, losing 2-0 away and missing out on a place in the finals in Portugal. The Group Four fixtures were hammered out at a meeting in Dublin on Tuesday. The Irish open their campaign on 4 September at home to Cyprus and wrap up the 10-match series on 12 October 2005, with the visit of Switzerland. Manager Brian Kerr and FAI officials met representatives from Switzerland, France, Cyprus, Israel and the Faroe Islands to arrange the fixture schedule. Kerr had hoped to finish with a clash against France, but got the reigning European champions as their penultimate home match on 7 September 2005. The manager got his wish to avoid a repeat of finishing their bid to qualify with too many away matches. Cyprus v Israel. Switzerland v Republic of Ireland; Israel v Cyprus; Faroe Islands v France."
1447,"Bnei Sakhnin are the first Arab side ever to play in European competition and will play English Premiership side Newcastle United in the first round. The three other Africans at the club are former Cameroon defender Ernest Etchi, DR Congo's Alain Masudi and Nigerian midfielder Edith Agoye, who had a stint with Tunisian side Esperance. The club have a strong ethic and are high profile promoters of peace and co-operation within Israel."
1448,"The German club said the player had pulled out because of a back injury. Iran gave judo world champion Arash Miresmaeili a $125,000 reward when he refused to fight an Israeli at the Athens Olympics. ""He's got back pain and he couldn't train,"" the spokesman said. ""It would have made no sense for him to go."""
1449,"It means United's win will pass off without further intervention from the governing body, whose new chief executive Brian Barwick was in the Highbury stands. ""The referee has confirmed that he is satisfied he dealt with the incident at the time,"" said an FA statement. They are big enough players to handle themselves,"" said Vieira. Neville admitted that he had not enjoyed the match, which was punctuated by fouls and the sending off of Mikael Silvestre for head-butting Freddie Ljungberg . ""Patrick Vieira is 6ft 4in and having a go at Gary Neville. ""I didn't threaten anybody. ""There is no way that should have happened in a football match."" ""There were a couple of things that did happen before the game which disappoint you,"" he said. Manchester United manager Sir Alex Ferguson added: ""Vieira was well wound up for it. Patrick Vieira has apparently threatened some of our players and things like that."""
1450,"""That's not good enough for a striker at a club like this. Bellamy left Newcastle to join Celtic on loan after a major row with Souness. ""There are certain things you can forgive and forget,"" said Souness. ""But if I'd been seen to be weak in this case there was no future for me with the players in the dressing room or any job I have after Newcastle."" He could then return to St James' Park - and he says that he wants to."
1451,"Indeed, it was the visitors who looked likelier to enliven a drab opening played at a lethargic pace. City broke swiftly up the field and the last chance of a frenetic spell should have resulted in Fowler celebrating his 150th Premiership goal. But Chelsea suddenly stepped up a gear and created a flurry of chances. Chelsea were now looking more like Premiership leaders and James kept out Kezman's fierce drive before Bosvelt and James combined to clear Gallas' header from Duff's corner. Shaun Wright-Phillips - watched by England boss Sven-Goran Eriksson - showed his customary trickery to burst into the right of the area and deliver a dangerous ball, which was blocked by John Terry. First, Duff got round Ben Thatcher and blasted in a shot that James parried to Kezman, who turned the ball wide. James, Mills, Distin, Dunne, Thatcher, Shaun Wright-Phillips, Bosvelt, Barton, Sibierski (McManaman 85), Musampa, Fowler. Subs Not Used: Johnson, Smertin, Cudicini. Bosvelt. 42,093
H Webb (S Yorkshire)."
1452,"The referee is not expected to include any of the alleged incidents in his report to Uefa - weakening Chelsea's case. The referee's dressing room was locked and he and his assistants were the only people allowed in."" Rijkaard added: ""Chelsea is the team which has conceded fewest goals in the English league and they defend very well so I am very pleased with the win. Barca midfielder Deco, formerly managed by Mourinho at Porto, agreed that it was not typical of his fellow Portuguese to lodge a protest. ""It's not normal behaviour on his part. It is not good behaviour after a match,"" he said. ""My men deserved victory and I am pleased to have won this match. ""Maybe they want to start something and make it worse than than it is. I really don't understand it. I am very calm about it."""
1453,"Why not?"" Benitez is hoping to win his first trophy since arriving at Liverpool from Valencia when they play Chelsea in the Carling Cup on Sunday in Cardiff. Benitez added: ""When we lose I only think of solutions. ""If we can win the next game, maybe we will draw a side that isn't so strong, or a side with injuries or suspensions."" If you only think about winning the next game, you don't know what the draw will be."
1454,"""When I first came there was a lot of scepticism back in England, any maybe some out here,"" he said. Owen determined to stay in Madrid
England forward Michael Owen has told the BBC he is happy in Spain and has no plans to quit Real Madrid to return to the Premiership in the near future. ""People were saying 'fourth-choice striker, what are you going there for? You'll be sat on the bench all the time'. ""I've got great memories of Liverpool. ""For a fourth-choice striker at the start I'm more than happy with the way I've settled in."" He added: ""I've got nothing against the Premiership, I mean that's where I first performed, that's where I made my name. ""It's very flattering to be linked to top clubs in England - I'm glad that no-one is forgetting me! No matter what happens it'll always be a club I have fond memories of and it will always have a place in my heart. - Listen to the full interview with Garry Richardson on BBC Radio Five Live's Sportsweek at 0900 GMT on Sunday."
1455,"The club's managing director, Keith Edelman, stressed that the development of their new £350m stadium had no affect on Wenger's spending power. ""Hopefully, we'll spend it this summer and in the coming years. Don't worry we've got it,"" Edelman told BBC Sport. ""It's important that we had sufficient funds for our team in place, before we began on the stadium."""
1456,"Souness delight at Euro progress
Boss Graeme Souness felt Newcastle were never really in danger of going out of the Uefa Cup against Heerenveen. ""Obviously with winning in the first leg it gave us a great advantage,"" he said after the 4-2 aggregate victory. ""He struck the ball very well - he always has done - and I think it was the power and pace that beat the goalkeeper."" ""In the first half he did really well and did everything you want from a wide player. More of the same in future please,"" he said."
1457,"We will assess it in the morning. Boro face Sporting Lisbon for a place in the quarter-finals after the Portuguese side saw off Feyenoord on Thursday. They say in sport you can win ugly - and we certainly did."" Goalscorer Jimmy Floyd Hasselbaink added: ""It wasn't a particularly beautiful match to watch - but they made it difficult for us. ""We didn't play well at all. ""But so is going back to Portugal - I'll be playing against some lads I played with at Boavista."" But you need a little bit of luck and I think we got that when my shot went through the legs of their goalkeeper. ""I would have liked to play in Holland - that would have been a little bit special to me."
1458,"It ended Celtic's 11-game unbeaten run at home in Old Firm derbies and gave Rangers manager Alex McLeish his first victory at the home of his Glasgow rivals. Celtic had won their last six meetings on their home pitch, including twice already this season. He had an even better chance after Hartson dispossesed Sotiris Kyrgiakos and sent his strike partner clear with only the goalkeeper to beat. A great defensive header by Andrews prevented Hartson pouncing from five yards out. Rangers had rarely threatened until Celtic goalkeeper Rab Douglas let defender Vignal's 25-yard drive slip through his grasp and into the net. But Rangers found Celtic harder to break down and Douglas was not threatened until 10 minutes after the break. Hartson foxed Vignal at the edge of the Rangers box, but the striker's shot on the turn was again beaten away by Waterreus. Ricksen appeared to be hit by a coin, but it could not prevent Rangers' celebrations at the final whistle. Subs: Marshall, Henchoz, Juninho Paulista, Lambert, Maloney, Wallace, McGeady. : M McCurry"
1459,"""We don't know how many red cards he was shown,"" said an SFA statement. SFA awaits report over Mikoliunas
The Scottish Football Association is awaiting referee Hugh Dallas's report before acting against Hearts winger Saulius Mikoliunas. ""He was sent off for violent conduct in the 90th minute but we don't know if he did something else after the whistle. Rangers' striker Dad Prso was also sent off during the same incident when he received a second yellow card for wrestling the ball away from Craig Gordon and leaving the Hearts keeper on the ground. Hearts' boss John Robertson said: ""Mikoliunas has thrown his chest against the assistant referee's chest and got a red card for it. ""The officials have got to take into account the fact he's a young lad. ""But it was over-zealousness and I don't think Hugh had any option."" Why were 10,000 Hearts fans incensed? ""Why did nobody from the Rangers' bench claim for a penalty kick?"""
1460,"Palace threat over Cantona masks
Manchester United fans wearing Eric Cantona masks will not be allowed in Selhurst Park on Saturday. ""And no fans wearing Cantona masks will be allowed entry to the stadium."" United fans had declared Saturday as 'Cantona Day' and had planned to wear masks, that were popular during the Frenchman's time as a player at the Old Trafford club."
1461,"Legendary Dutch boss Michels dies
Legendary Dutch coach Rinus Michels, the man credited with developing ""total football"", has died aged 77. However, he guided his side to the 1988 European Championship title with a 2-0 win over the Soviet Union in the final. His 1970s Dutch team was built around Johan Cruyff and Johan Neeskens and introduced the concept of 'total football' to the world. Michels played for Ajax and coached the side to four national titles between 1965-71 and a European Cup in 1971. Dutch sports minister Clemence Ross-van Dorp said: ""He was the man who, together with Cruyff, made Dutch football big."""
1462,"However, he added that his side, who are four places above the Magpies in the Premiership, were ""not afraid of anyone"". It was a professional sort of performance,"" the Dutchman said. ""We knew it was going to be difficult with the conditions. Jol joy at 'professional' Cup win
Tottenham manager Martin Jol acclaimed his players for their patience in their 3-0 FA Cup fifth-round victory over a determined Nottingham Forest side. ""We dug in and the gaffer said to us at half-time to keep being patient and that the goal will come."" ""They're on a high, but we're confident and in the last few games we've played well and hopefully we can go there and get the win,"" he said. The pitch wasn't the best but we still tried to pass it. ""If we defend in the Championship like we did we'll not get another point."
1463,"""People have talked a lot about my performances and I think I have had some months that were not so good and others that were very good."" He added: ""We had several chances against Betis and I think we can get back in touch with Barcelona. Owen delighted with Real display
Michael Owen revelled in his return to the to the Real Madrid starting line-up and inspired a 3-1 win over Real Betis on Wednesday by scoring the first goal. ""It is only six points between Barcelona and us and that is nothing. If we can beat them at the Bernabeu (on 10 April), then it will be just three."" Real had lost their previous two league games."
1464,"Milan's talismanic European footballer of the year misses Wednesday's Champions League first-leg tie after fracturing his cheekbone. ""It's a loss (to Milan), but it could be worse if they didn't have such quality to bring in,"" Ferguson said. Ferguson fears Milan cutting edge
Manchester United manager Sir Alex Ferguson said his side's task against AC Milan would not be made any easier by the absence of Andriy Shevchenko. ""They can play Rui Costa and play Kaka forward. ""We have an opportunity to win this cup this year, no question about that,"" he declared. Our intention is not to adapt to their play but to play our game,"" he said. ""His ability puts him in with a big shout but it is a major decision."" ""As soon as I knew we were playing Milan, I got excited. Milan beat Juventus in a penalty shootout after a 0-0 tie at Old Trafford and Ancelotti said: ""We are all very happy to return (to Old Trafford) to play in the Champions League and this will give us great motivation."" Looking at the draw, it is anyone's trophy but we have every chance."
1465,"Vaughan said: ""I offered a financial settlement so they could resign with dignity but an obvious action is to dismiss them. ""I haven't because of the finances, so technically they're still employees."" Rush was appointed at the end of August following the departure of former Liverpool team-mate Mark Wright, who guided Chester to the Conference title last season. Vaughan claimed that Aizlewood had ""verbally agreed"" to the offer."
1466,"""Hopefully it could happen. I love the way Madrid play. Before the story surfaced, Reyes had moved to play down reports linking him with the Spanish giants, issuing a statement through Arsenal describing the speculation as ""flattering"". Reyes tricked into Real admission
Jose Antonio Reyes has added to speculation linking him with a move from Arsenal to Real Madrid after falling victim to a radio prank. ""I have seen the stories in the media linking me with Real Madrid,"" he had said on Thursday lunchtime. I'm not happy with the way things are."" ""But not only am I under contract at Arsenal, I am happy here and committed to helping the team win more trophies."" ""If I'm not (playing for Real) I'm going to have to carry on playing with some bad people,"" he added. ""I'm sure there are none in the Real dressing room."
1467,"Benitez joy as Reds take control
Liverpool boss Rafael Benitez was satisfied after his team's 3-1 win over Bayer Leverkusen despite conceding a goal in the last minute. ""I have confidence that we can complete the task in Germany. ""Steven Gerrard is a key player for us,"" said Benitez. ""If we had scored our other chances it would not have been worth remembering that last goal. It would not have mattered. ""Steven is one of the best players in the world, but I need a team that is not about just one player. I am always confident and we must be positive."" And the Liverpool boss is looking forward to having skipper Steven Gerrard, who was suspended for the Anfield leg, back for the return in Germany."
1468,"Souness eyes summer move for Owen
Newcastle boss Graeme Souness is lining up a summer move for England and Real Madrid striker Michael Owen. He sees Owen as the ideal replacement for Alan Shearer, who is due to retire in the summer, although he hopes to persuade Shearer to carry on. ""I can't imagine him leaving without breaking Jackie Milburn's scoring record."" ""Michael is in the category of players who would excite the fans and we're monitoring him,"" he told BBC Newcastle. ""Without giving too much away, I am confident he will be here next season,"" said Souness. The Peruvian international was sold to Aston Villa a year ago but in the phone-in for BBC Newcastle, Souness said tried to re-sign him, but Villa were not interested in selling. ""Don't think we will wait to the last day of the season to say: `Who are we going to target now?""'"
1469,"Wenger dejected as Arsenal slump
Arsenal manager Arsene Wenger claimed their display in the 3-1 defeat against Bayern Munich was ""our worst peformance in the Champions League"". I feel we really turned in a bad performance. Kolo Toure's late goal gives the Gunners hope for the second leg, but Wenger said: ""The only positive is that we are still in the tie. ""Arsenal are fully capable of scoring several goals against us on their own turf."" But Wenger's Bayern counterpart Felix Magath was in no mood to celebrate either. ""The players are really down in the dressing-room. I could cry - maybe it would be easier - but life goes on. My players failed to try and score a fourth to kill the tie and then conceded the late goal. This was a bad night - but I still have confidence in the quality of my players, as well as their spirit and desire."" As a goalkeeper, I always blame myself."
1470,"The decision came shortly after Stam claimed in his autobiography that Ferguson had tapped him up when he was at PSV Eindhoven. The sides meet at Old Trafford in the Champions League game on Wednesday and the 32-year-old's Dutchman's presence is sure to add spice to the fixture. If a club want to sell you, there is nothing you can do. ""We can't all be Wayne Rooneys - at his age I was training to be an electrician and thought my chance of becoming a professional footballer had gone,"" he said. ""In what other industry can a good employee be ushered out the door against their wishes? ""I was settled at Manchester United, but they wanted to sell me. It sounds strange but it's a tradition where I grew up in Kampen - and I had done all the things I wanted to do."" What's the point?"" ""Starting late can be a good thing. Some kids who start early get bored."
1471,"Mourinho's side were knocked out of the FA Cup by Newcastle last Sunday before seeing Barcelona secure a 2-1 Champions League first-leg lead in the Nou Camp. ""Do they want to change positions with us? We are top of the league by nine points and in the Carling Cup final. ""Don't try to put pressure on me because I am never under pressure,"" he warned. Mourinho said it was important to keep his team's results in perspective. ""The only thing they can say they are in a better position than us in is the FA Cup. ""In the Champions League all three teams can either go through or go out but the one team that is in the best position is still Chelsea."""
1472,"Hodgson relishes European clashes
Former Blackburn boss Roy Hodgson says the Premiership should follow the rest of Europe and have a winter break - but insists that a gruelling domestic schedule will not damage the English elite's bid for Champions League glory. ""And certainly if I was still a manager in England I would be supporting any calls for its introduction. ""The break gives them a chance to recover that energy and enthusiasm and, perhaps more importantly, recover their mental strength during the break and get ready for the games ahead. ""The mental side is by far the most important thing."" He said: ""If we talk about football at elite level, which the Premiership is, then I would support a winter break. You just took Christmas and New Year. ""If you examine the demands of the Premier League and, in particular on players who play international football for their club and country, then a break would do them the world of good - physically and mentally."" ""It was so short you didn't do anything. In Italy the break was very short. You gave the players a week or 10 days off, then you were training for a week or 10 days and then went into a game."
1473,"Former assistant Antonio Lopez will take over as the new coach. ""We understand, and he understands, that the results in the last few weeks have not been the most appropriate,"" said club president Juan Bautista. The decision was taken at a board meeting following the side's surprise elimination from the Uefa Cup. Italian Ranieri took over the Valencia job in June 2004 having been replaced at Chelsea by Jose Mourinho."
1474,"The return to fitness of Darius Vassell after four months out with a broken ankle and the emergence of Luke Moore has alleviated some of the Villa's manager's problems in that department. ""I won't be able to tell you whether he will need an operation until maybe next week. Whether he has an operation has got to be left to Chelsea."""
1475,"It was a revamped Arsenal line-up, and they were almost a goal behind within seconds as Tonge wasted a glorious chance. Arsenal, stripped of attacking talent such as Thierry Henry and Dennis Bergkamp, partnered 17-year-old Italian striker Arturo Lupoli with Ljungberg up front. He ran clear after good work by Mathieu Flamini, but his finish was tame and Kenny saved easily. Arsenal were barely seen as an attacking force in the opening 45 minutes, although Ljungberg turned a half-chance wide after good work by Cesc Fabregas. Neil Warnock's side almost snatched victory in the dying seconds when Derek Geary's cross found Harley at the far post, but his diving header was brilliantly turned over by Almunia. Arsenal laid siege to Sheffield United's goal in the dying minutes, but they somehow held on to force penalties. Morgan. Subs Not Used: Eboue, Taylor. Kenny, Geary, Morgan, Bromby, Harley, Liddell, Montgomery, Jagielka, Thirlwell, Tonge (Quinn 97), Gray. 27,595
P Dowd (Staffordshire)."
1476,"An Ajax spokesman told BBC Sport: ""The coach must fit our profile - a coach who understands the Dutch league and offensive and distinctive football. ""We need to find a solution soon, so someone is in place for next season."" Jol has been linked with the vacant post at Ajax, with reports saying he has fallen out with Spurs' sporting director Frank Arnesen. Ajax have enlisted the help of Dutch legend Johann Cruyff, currently a consultant at Barcelona, to help find a new head coach. But in a statement on Spurs' website, Jol said: ""I'm happy here, I'm not in discussion with anyone else, I don't want to go elsewhere."""
1477,"He told Czech newspaper Daily Sport: ""I don't know why I didn't play on Sunday. I didn't argue with anybody. ""I was disappointed but I am not thinking of leaving right now."" Baros, who is Liverpool's leading scorer this season, denied reports of a row with Benitez but claims he is mystified at being left on the bench."
1478,"The 23-year-old has admitted two charges of improper conduct following his dismissal against Arsenal. Prutton has apologised publicly for his actions and to Arsenal's Robert Pires, who was injured in a wild tackle by the Saints' midfield man. He over-reacted badly for some reason - he had a rush of blood from somewhere. Off the pitch you couldn't meet a nicer lad."" I can't condone what he's done. ""It's not a cop-out, but it was all a bit of a blur. ""I apologise for the people who saw it. He said: ""It's an horrendous situation. He was out of order but he knows that,"" said Redknapp. ""I've also seen what happened to Pires' leg and I'm sorry for that as well."""
1479,"Robben plays down European return
Injured Chelsea winger Arjen Robben has insisted that he only has a 10% chance of making a return against Barcelona in the Champions League. He added: ""My recovery is going better than we expected a few weeks ago but I think the Barcelona game will come too soon. ""I won't take any risks and come back too soon."""
1480,"Adriano's Chelsea link rejected
Adriano's agent Gilmar Rinaldi has insisted that he has had no contact with Chelsea over the striker. ""Parma and Real Madrid are interested but there's nothing new there. Mourinho said he was ""just practising my Portuguese with him because I don't need strikers"". Rinaldi told BBC Sport from Rio de Janeiro: ""I can assure you that Chelsea have had no dealings whatsoever with either me or Adriano. That's something that would have to be negotiated between the interested clubs."" I can tell them what the situation is. ""If Chelsea are interested then they must make an offer."" Real Madrid view him as a natural replacement for compatriot Ronaldo."
1481,"But the FA confirmed: ""There will be no further action taken in this matter."" Mourinho claimed his 'silence' gesture was aimed at the media, although they were on the other side of the ground. His gesture came after Chelsea's equaliser on 79 minutes courtesy of a Steven Gerrard own goal. Mourinho still faces an FA investigation into his allegation that Manchester United's players 'cheated' during January's Carling Cup semi-final at Stamford Bridge. And a charge of failing to control their supporters following a Carling Cup meeting with West Ham earlier this season is still to be heard."
